u_star,x2
4.193025009983595286e-01,2.490000000000000000e+02
4.130410383726254575e-01,2.500000000000000000e+02
4.069965345916096711e-01,2.510000000000000000e+02
4.011684774956918997e-01,2.520000000000000000e+02
3.955560035551852205e-01,2.530000000000000000e+02
3.901579453440181533e-01,2.540000000000000000e+02
3.849728758205313017e-01,2.550000000000000000e+02
3.799991494894421895e-01,2.560000000000000000e+02
3.752349405422035211e-01,2.570000000000000000e+02
3.706782780910791719e-01,2.580000000000000000e+02
3.663270786259673617e-01,2.590000000000000000e+02
3.621791758327561062e-01,2.600000000000000000e+02
3.582323479184806314e-01,2.610000000000000000e+02
3.544843425921211932e-01,2.620000000000000000e+02
3.509328998510983788e-01,2.630000000000000000e+02
3.475757727226947424e-01,2.640000000000000000e+02
3.444107461072171139e-01,2.650000000000000000e+02
3.414356538659094609e-01,2.660000000000000000e+02
3.386483942918482315e-01,2.670000000000000000e+02
3.360469440963994581e-01,2.680000000000000000e+02
3.336293710376071475e-01,2.690000000000000000e+02
3.313938453102347470e-01,2.700000000000000000e+02
3.293386498102191529e-01,2.710000000000000000e+02
3.274621893792249994e-01,2.720000000000000000e+02
3.257629991277886106e-01,2.730000000000000000e+02
3.242397519283936047e-01,2.740000000000000000e+02
3.228912651627231511e-01,2.750000000000000000e+02
3.217165068003369766e-01,2.760000000000000000e+02
3.207146008791923464e-01,2.770000000000000000e+02
3.198848324517360453e-01,2.780000000000000000e+02
3.192266520537788144e-01,2.790000000000000000e+02
3.187396797470216092e-01,2.800000000000000000e+02
3.184237087799224875e-01,2.810000000000000000e+02
3.182787089055552077e-01,2.820000000000000000e+02
3.183048293892191682e-01,2.830000000000000000e+02
3.185024017327687251e-01,2.840000000000000000e+02
3.188721597291996890e-01,2.850000000000000000e+02
3.194115332913139982e-01,2.860000000000000000e+02
3.200013953884122131e-01,2.870000000000000000e+02
3.205942616300723191e-01,2.880000000000000000e+02
3.211887779769387885e-01,2.890000000000000000e+02
3.217849505628698759e-01,2.900000000000000000e+02
3.223827855502788831e-01,2.910000000000000000e+02
3.229822891302888688e-01,2.920000000000000000e+02
3.235834675228960178e-01,2.930000000000000000e+02
3.241863269771296796e-01,2.940000000000000000e+02
3.247908737712174032e-01,2.950000000000000000e+02
3.253971142127469185e-01,2.960000000000000000e+02
3.260050546388325587e-01,2.970000000000000000e+02
3.266147014162803508e-01,2.980000000000000000e+02
3.272260609417577681e-01,2.990000000000000000e+02
3.278391396419574333e-01,3.000000000000000000e+02
3.284539439737715338e-01,3.010000000000000000e+02
3.290704804244593551e-01,3.020000000000000000e+02
3.296887555118194202e-01,3.030000000000000000e+02
3.303087757843627958e-01,3.040000000000000000e+02
3.309305478214876750e-01,3.050000000000000000e+02
3.315540782336529047e-01,3.060000000000000000e+02
3.321793736625558990e-01,3.070000000000000000e+02
3.328064407813088876e-01,3.080000000000000000e+02
3.334352862946180496e-01,3.090000000000000000e+02
3.340659169389628147e-01,3.100000000000000000e+02
3.346983394827791058e-01,3.110000000000000000e+02
3.353325607266381958e-01,3.120000000000000000e+02
3.359685875034312819e-01,3.130000000000000000e+02
3.366064266785567805e-01,3.140000000000000000e+02
3.372460851501023482e-01,3.150000000000000000e+02
3.378875698490331203e-01,3.160000000000000000e+02
3.385308877393833349e-01,3.170000000000000000e+02
3.391760458184408522e-01,3.180000000000000000e+02
3.398230511169418877e-01,3.190000000000000000e+02
3.404719106992614153e-01,3.200000000000000000e+02
3.411226316636069011e-01,3.210000000000000000e+02
3.417752211422143693e-01,3.220000000000000000e+02
3.424296863015418024e-01,3.230000000000000000e+02
3.430860343424698700e-01,3.240000000000000000e+02
3.437442725004976607e-01,3.250000000000000000e+02
3.444044080459456314e-01,3.260000000000000000e+02
3.450664482841544478e-01,3.270000000000000000e+02
3.457304005556887105e-01,3.280000000000000000e+02
3.463962722365423463e-01,3.290000000000000000e+02
3.470640707383423895e-01,3.300000000000000000e+02
3.477338035085569268e-01,3.310000000000000000e+02
3.484054780307037635e-01,3.320000000000000000e+02
3.490791018245580912e-01,3.330000000000000000e+02
3.497546824463677595e-01,3.340000000000000000e+02
3.504322274890613320e-01,3.350000000000000000e+02
3.511117445824648020e-01,3.360000000000000000e+02
3.517932413935173086e-01,3.370000000000000000e+02
3.524767256264871307e-01,3.380000000000000000e+02
3.531622050231895127e-01,3.390000000000000000e+02
3.538496873632095974e-01,3.400000000000000000e+02
3.545391804641203071e-01,3.410000000000000000e+02
3.552306921817076080e-01,3.420000000000000000e+02
3.559242304101953858e-01,3.430000000000000000e+02
3.566198030824695442e-01,3.440000000000000000e+02
3.573174181703065999e-01,3.450000000000000000e+02
3.580170836846049420e-01,3.460000000000000000e+02
3.587188076756115396e-01,3.470000000000000000e+02
3.594225982331581415e-01,3.480000000000000000e+02
3.601284634868927581e-01,3.490000000000000000e+02
3.608364116065170824e-01,3.500000000000000000e+02
3.615464508020216350e-01,3.510000000000000000e+02
3.622585893239271826e-01,3.520000000000000000e+02
3.629728354635232690e-01,3.530000000000000000e+02
3.636891975531106325e-01,3.540000000000000000e+02
3.644076839662464540e-01,3.550000000000000000e+02
3.651283031179891059e-01,3.560000000000000000e+02
3.658510634651441773e-01,3.570000000000000000e+02
3.665759735065153846e-01,3.580000000000000000e+02
3.673030417831550376e-01,3.590000000000000000e+02
3.680322768786152277e-01,3.600000000000000000e+02
3.687636874192035119e-01,3.610000000000000000e+02
3.694972820742380981e-01,3.620000000000000000e+02
3.702330695563060825e-01,3.630000000000000000e+02
3.709710586215231309e-01,3.640000000000000000e+02
3.717112580697944924e-01,3.650000000000000000e+02
